drupal_id,drupal_uuid,directus_id,code,name,status,action
24,"f5372c4b-17a3-4d51-9166-d0ba353b2933",5,"24","Cameroon",success,updated
25,"019e0919-5ec9-473d-baa8-a01792d16c1a",8,"25","Central African Republic",success,updated
26,"076b4665-6ce2-469b-bee3-e11b9dd03508",12,"26","Chad",success,updated
27,"d2bc5655-c4bf-4e19-aeca-da817e634ca3",17,"27","Congo (Brazzaville)",success,updated
28,"b8f3990a-b472-4ee5-9a8d-9c3d0ab83132",21,"28","Congo (Kinshasa)",success,updated
29,"61a70bb9-46b5-4a6b-8953-d7d8028501ca",26,"29","Equatorial Guinea",success,updated
30,"60a244ce-f32b-4dcb-bffe-f9d65230587c",30,"30","Gabon",success,updated
31,"ca9320fe-a865-4918-bafa-6ebd63d803ff",37,"31","Sao Tome and Principe",success,updated
32,"9075a6e9-c6e9-4e75-8e44-51503971b594",,"32","Central Africa",success,not_found
33,"e58f0a6d-42bb-4610-9795-13559c415307",,"33","Eastern Africa",success,not_found
34,"1ef47019-df14-4b23-b83d-f29ffc545fd7",4,"34","Burundi",success,updated
35,"2ef7bf6a-871d-41f1-8988-10162740ffda",9,"35","Comoros",success,updated
36,"6fc8c7d3-152b-4218-a573-57eab0f095fd",13,"36","Djibouti",success,updated
37,"eb6cba05-e358-40e3-9c01-faa738a05f70",18,"37","Eritrea",success,updated
38,"afe2c768-8785-4332-a82a-e624d4729bc3",23,"38","Ethiopia",success,updated
39,"87a0ecbe-45d5-41b5-abed-6b8651cb82c4",28,"39","Kenya",success,updated
40,"837360d9-614b-45c1-b08e-ca6783162c93",32,"40","Madagascar",success,updated
41,"e5906ddc-80f5-4c07-b40a-f06b53f9c2c5",36,"41","Mauritius",success,updated
42,"b997b184-0c0f-4095-94f6-2095e33ffbcf",39,"42","Rwanda",success,updated
43,"3fcfe324-fc1d-447e-aaca-ca9eaa2863af",42,"43","Seychelles",success,updated
44,"d2334065-2131-4d71-883d-950e025fec9f",45,"44","Somalia",success,updated
45,"bf77b712-6675-4fd7-a3c1-e581e33aa11f",46,"45","South Sudan",success,updated
46,"877599dc-1834-4b1c-8dd4-e3b112a85460",48,"46","Sudan",success,updated
47,"87648d48-0438-4a14-b594-6408c70cd2e5",50,"47","Tanzania",success,updated
48,"83db954e-f94b-42f9-bd97-00624b856a73",52,"48","Uganda",success,updated
49,"c47731fc-022a-4717-8276-971aa6aa9e2f",,"49","Northern Africa",success,not_found
50,"bc406e0c-9dde-4e89-98f7-fa8e729db279",1,"50","Algeria",success,updated
51,"52cb507c-1281-4b2f-8e3b-4640433fdea1",10,"51","Egypt",success,updated
52,"12c2d76a-f390-4964-9dd6-e3c984e70793",15,"52","Mauritania",success,updated
53,"7fa70ce9-8704-4e94-8231-7f5a65a66186",20,"53","Morocco",success,updated
54,"c4d504c1-3d30-416a-b2b0-282772cf6ca9",25,"54","Tunisia",success,updated
55,"0f25df9d-f37b-4162-ac70-d7b4e83bcaa4",,"55","Southern Africa",success,not_found
56,"1d28ab3c-d7d6-4b34-85bf-e46127364782",2,"56","Angola",success,updated
57,"eb5a052d-2086-4d90-a48b-a0021ced68a0",6,"57","Botswana",success,updated
58,"3d4202b4-4f80-45fa-aecf-0a93eaa3ec70",14,"58","Lesotho",success,updated
59,"452911df-8f22-4aaf-870b-1b338f76f0c9",19,"59","Malawi",success,updated
60,"4393f6e8-b554-4a8d-99a8-2429820d5486",24,"60","Mozambique",success,updated
61,"5490bd71-019e-4c37-80b0-246e08f63761",29,"61","Namibia",success,updated
62,"5d6f104d-0208-40b7-b3da-418e19209cf4",33,"62","South Africa",success,updated
63,"c9c4828b-262b-4d5d-950c-a81063a787d9",34,"63","Eswatini",success,updated
64,"ddb3d1dc-f24f-4e3e-8e23-f32c5b1783c0",40,"64","Zambia",success,updated
65,"365406cc-f545-481e-a806-a5483fb7d322",43,"65","Zimbabwe",success,updated
66,"018002ff-213c-49ce-9fed-b6408989dd08",,"66","Western Africa",success,not_found
67,"5e4db35b-aa33-411a-9b56-2e9f49cb2b39",3,"67","Benin",success,updated
68,"9f462b06-58a4-4cb9-8243-38e1a23f4f29",7,"68","Burkina Faso",success,updated
69,"796a8651-302f-4777-a2c7-8227084e12a4",11,"69","Cape Verde",success,updated
70,"272f46fe-c6d9-4b40-97ed-6fc261928c21",16,"70","Chad",success,updated
71,"0b715326-273d-4d51-9c97-178e1f2aea02",22,"71","Cote dâ€™Ivoire",success,updated
72,"2e453481-a832-4ef8-93c2-c2916fd9ec61",27,"72","Gambia",success,updated
73,"f8b172ed-dc19-4d9d-9980-385c3bd511e0",31,"73","Ghana",success,updated
74,"d3aef693-d996-492d-8990-fa5cb099292d",38,"74","Guinea Bissau",success,updated
75,"ea5d5bda-6217-410b-bd45-721bf414eac5",41,"75","Liberia",success,updated
76,"e7d90770-1b66-452b-9774-53f2996a985b",44,"76","Mali",success,updated
78,"9328773d-2cba-4ed1-b182-81345a6fc0f9",47,"78","Niger",success,updated
79,"a97038e4-42f5-47cc-ae64-59dd3db07667",49,"79","Nigeria",success,updated
80,"8300755a-bede-495f-b6d7-1cb88a9b2065",51,"80","Senegal",success,updated
81,"e109e4f8-bbc5-441a-b59f-3f9ecb7e410a",53,"81","Sierra Leone",success,updated
82,"2703f478-710d-450e-a17d-2142d86c2df0",54,"82","Togo",success,updated
83,"ad6481c7-46ce-46b5-baf1-47063483a90c",35,"83","Guinea",success,updated