id,title,status,created,updated
4d4ba3e6-ff39-492a-9973-c4e8c90fc74f,"GEO WEEK",draft,2023-12-21T06:06:13+00:00,2024-02-15T03:05:39+00:00
787431ff-a269-4a4d-84c0-f0c6c9240d8e,"CIOB: Finding Your Niche in the Construction and Built Environment Field",draft,2024-02-07T13:02:49+00:00,2024-03-02T07:40:30+00:00
be68c19d-7477-4d2d-b652-4e36595d77ae,"Africa Energy Indaba",draft,2023-12-21T06:20:26+00:00,2024-03-12T07:55:44+00:00
d231b660-7342-455d-8008-416d43f2188b,"CIOB Student Festival 2024",draft,2024-01-22T07:20:48+00:00,2024-03-12T07:56:19+00:00
c89f7bcf-9f86-4802-b358-8b710670ad8d,"US-Africa Green and Sustainable Financing Workshop",draft,2024-03-07T09:38:48+00:00,2024-03-23T10:12:06+00:00
7bfbcd03-5769-4699-9ef6-42843d858aff,"CIOB: Construction Site Organization Process and Efficiency",draft,2024-02-07T12:30:45+00:00,2024-05-06T08:46:49+00:00
0cedde4c-e399-4465-8985-d5dd8e8f4d8b,"CIOB Work Readiness Symposium - Durban University of Technology",draft,2024-04-02T13:25:32+00:00,2024-05-16T11:24:39+00:00
3a08c43d-46c8-4c92-9b94-6e77017b6e88,"TechCIOB – Application workshop",draft,2024-04-02T13:15:07+00:00,2024-05-16T11:25:02+00:00
dfd56143-00d0-4284-9ff8-bcb2b1b5e529,"UK Construction Week 2024",draft,2024-04-22T08:34:10+00:00,2024-05-16T11:25:54+00:00
4835d0b3-1646-4fc2-955e-c28ea9a2742f,"Low Carbon in Real Estate for Sustainable Development",draft,2024-05-16T21:14:28+00:00,2024-05-20T14:02:30+00:00
7cf3c97d-2db9-4284-954d-8cff022e6013,"Challenges with BIM: Adoption from a Canadian perspective",draft,2024-05-16T21:35:55+00:00,2024-05-28T07:59:19+00:00
1a341cb7-93fb-4eff-a348-bda6ead5df4f,"Get To Know CIOB - Johannesburg networking event",draft,2024-05-16T21:19:23+00:00,2024-06-26T12:02:09+00:00
55dac115-e851-46b6-9875-ea1cfeb30e5c,"Africa Hospitality Investment Forum (AHIF) 2024",draft,2024-04-02T11:32:23+00:00,2024-06-26T12:02:53+00:00
3e3eba45-79ac-42e5-a7d4-2c33817eeac4,"UKGCC Webinar Invitation: Deriving Value from Good ESG Practice",draft,2024-07-12T20:57:42+00:00,2024-08-18T17:34:10+00:00
74bb8afc-63f9-4b5e-8d84-b9f71d3e3f6c,"Supporting Services for Trenchless Installations",draft,2024-08-05T08:26:45+00:00,2024-08-26T13:13:44+00:00
c3c6ecf1-0bb4-4631-9db2-edcbaeec8a9a,"West African Energy Summit",draft,2024-05-27T11:17:14+00:00,2024-09-12T11:57:23+00:00
609f79ba-c6c3-4473-9066-c6b097a2febf,"CIOB ACADEMIC SUMMIT: Creating An Inclusive Global Community",draft,2024-07-19T13:23:32+00:00,2024-09-12T11:57:55+00:00
7e6ba2ad-c94d-4cba-aa38-ae103f219601,"Big 5 Construct Nigeria",draft,2024-08-28T14:07:46+00:00,2024-10-01T07:55:11+00:00
8ffa8670-37d7-4adb-bce0-333ec8292982,"2024 Africa Investment Forum",draft,2024-10-01T08:17:18+00:00,2024-10-01T08:19:06+00:00
d61ff65a-9bb0-4457-bb95-b3a18a108b12,"AFSIC - Investing in Africa 2024",draft,2024-03-26T13:46:52+00:00,2025-02-02T10:30:12+00:00
2b1757bf-5197-4bd5-9f3f-4fc9cffd0324,"IRF World Congress 2024",draft,2024-10-01T07:58:37+00:00,2025-02-02T10:30:47+00:00
0630af0f-e92e-4b56-a4b8-317f65866fb2,"METALCON",draft,2024-06-03T19:21:48+00:00,2025-02-02T10:31:20+00:00
e4159732-89f8-414a-a100-1e5b661255c4,"Leveraging Technology to Overcome Challenges in the African Construction Industry",draft,2023-12-09T11:09:28+00:00,2025-02-02T10:31:55+00:00
84307253-e8b0-42f2-929d-d99211ec1c88,"Cote D'Ivoire Build Expo",published,2025-02-02T09:48:28+00:00,2025-02-05T14:30:49+00:00
fadc256f-270c-4f77-902c-cfabf0527a4b,"Big 5 Construct Ethiopia 2025",published,2025-02-09T08:43:31+00:00,2025-02-09T08:48:25+00:00
56ced7a3-66d0-4f0f-ad46-d5ab561fb990,"Big 5 Construct Nigeria 2025",published,2025-02-08T13:44:30+00:00,2025-02-09T08:52:00+00:00
756dbadd-0211-4f49-b20f-6fedd0896f5a,"Big 5 Construct Kenya 2025",published,2025-02-08T14:10:43+00:00,2025-02-09T08:53:34+00:00
b89a0889-8a29-430b-a229-9bf2399200fd,"Big 5 Construct Egypt 2025",published,2025-02-08T14:29:00+00:00,2025-02-09T08:56:22+00:00
cf079dee-9d60-408d-a9ac-cb9cb746f593,"Big 5 Construct South Africa 2025",published,2025-02-09T08:56:34+00:00,2025-02-09T09:11:24+00:00
b332de62-9857-4ec4-9cda-4440e38d2afd,"Unlocking Investment in Green Construction Projects in Sub-Saharan Africa",draft,2023-12-09T11:06:07+00:00,2025-02-10T04:47:49+00:00
4d4792f3-b2db-4428-a390-6bc060837b3c,"Railway Infrastructure Development in Africa",draft,2023-12-09T11:00:47+00:00,2025-02-10T04:48:10+00:00
a6c09556-0f72-4e0e-906c-0c8394344ce9,"Innovative Construction Materials for Africa",draft,2023-12-09T10:52:48+00:00,2025-02-10T04:48:37+00:00
1926f865-2c57-4385-a98d-4fcaa92310cf,"8th CEE Hydrogen Summit",draft,2025-02-15T14:01:23+00:00,2025-02-26T14:02:00+00:00
4554864e-f4f9-4a53-a2bf-40be7f6d114c,"2025 Africa’s Green Economy Summit",draft,2024-09-09T14:10:16+00:00,2025-02-26T14:03:07+00:00
dd55fd34-e224-46ba-b29d-505e93743232,"CIOB Student Festival 2025",draft,2025-02-10T04:34:00+00:00,2025-03-19T06:02:26+00:00
3be3c47a-d125-44c0-b9b7-092ad186305c,"InventU Fuel  Evolution Congress",published,2025-04-07T09:35:33+00:00,2025-04-07T09:55:39+00:00
c80ce280-e3dc-43da-aaa0-b0c296d6a2b0,"9th Green Hydrogen Forum",draft,2025-02-15T14:17:36+00:00,2025-05-03T11:26:54+00:00
d80299e9-33ad-40fd-b1b9-45f59782698a,"11th Mozambique Mining and Energy Conference and Exhibition",draft,2025-03-19T06:06:18+00:00,2025-05-14T07:41:36+00:00
4170bd38-1e03-41d2-99e6-b8beae4cce68,"[CIOB] Understanding ESG fundamentals for construction and infrastructure",published,2025-05-21T14:55:11+00:00,2025-05-21T15:16:41+00:00